scenario_id,mode,route_id,total_distance_m,total_travel_time_minutes,segment_count,static_exposure_index,airpath_exposure_index,oracle_exposure_index,absolute_exposure_difference_airpath_minus_static,percentage_exposure_difference_airpath_vs_static,edge_jaccard_with_fastest,edge_difference_fraction_from_fastest,evaluation_label,forecaster,exposure_framework_b
od_04,motorbike,motorbike-8,10551.5949527706,25.32382788664944,393,655.0800222933152,625.3927801108247,988.2502489537699,-29.687242182490536,-4.53184972403233,0.005338078291814947,0.994661921708185,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_05,walking,walking-1,6599.1173935056095,79.18940872206731,249,1874.5234334763902,1905.8067321378253,2533.8510501846745,31.283298661435083,1.6688667691616297,1.0,0.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_05,walking,walking-2,6784.464022663192,81.41356827195831,246,1924.1688750328788,1959.5095177115593,2579.841917503312,35.340642678680524,1.83667053018289,0.01642710472279261,0.9835728952772074,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_05,walking,walking-3,7136.549089395779,85.63858907274934,298,2042.1366131102009,2087.1964691281255,2725.063885962594,45.05985601792463,2.20650546729574,0.014842300556586271,0.9851576994434137,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_05,walking,walking-4,7697.826013392555,92.37391216071067,308,2154.188090201781,2208.0059187541488,2807.234306376256,53.8178285523677,2.498288278407789,0.018281535648994516,0.9817184643510055,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_05,walking,walking-5,6599.228133870036,79.19073760644044,249,1874.5364733912247,1905.8212686193103,2533.8592980815997,31.284795228085613,1.668934996580156,0.9840637450199203,0.015936254980079667,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_05,walking,walking-6,6599.491968275206,79.19390361930249,249,1874.6545605119181,1905.947099855494,2534.0554999092847,31.292539343575754,1.6692429636226205,0.9840637450199203,0.015936254980079667,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_05,walking,walking-7,6599.6027086396325,79.1952325036756,249,1874.6676004267526,1905.961636336979,2534.06374780621,31.294035910226285,1.6693111836521022,0.9683794466403162,0.031620553359683834,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_05,walking,walking-8,6599.613248653397,79.19535898384078,249,1874.6740274565109,1905.9544612751781,2534.0189580312062,31.280433818667234,1.6685798896519297,0.9840637450199203,0.015936254980079667,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_05,motorbike,motorbike-1,6445.369478954613,15.468886749491073,243,366.60800508289043,369.02866285545645,538.4203047254263,2.4206577725660168,0.6602850289694857,1.0,0.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
