scenario_id,mode,delta_time_allowed_minutes,epsilon_internal,maximum_feasible_time_minutes,feasible_route_count,feasible_alternative_count,fastest_route_id,predicted_optimal_route_id,oracle_optimal_route_id,predicted_optimal_travel_time_minutes,predicted_optimal_additional_time_minutes,predicted_optimal_predicted_exposure,predicted_optimal_oracle_exposure,predicted_exposure_reduction_vs_fastest,oracle_exposure_reduction_vs_fastest,oracle_exposure_fastest,oracle_exposure_oracle_optimal,decision_regret,oracle_optimal_agreement
od_04,motorbike,10.0,0.7532455893145646,23.27588258312904,7,6,motorbike-1,motorbike-1,motorbike-1,13.275882583129041,0.0,347.2539257313144,524.756402702522,0.0,0.0,524.756402702522,524.756402702522,0.0,True
od_04,walking,0.0,0.0,66.24586047456621,1,0,walking-1,walking-1,walking-1,66.24586047456621,0.0,1734.6168637377984,2526.171611879433,0.0,0.0,2526.171611879433,2526.171611879433,0.0,True
od_04,walking,1.0,0.015095282827278395,67.24586047456621,4,3,walking-1,walking-1,walking-1,66.24586047456621,0.0,1734.6168637377984,2526.171611879433,0.0,0.0,2526.171611879433,2526.171611879433,0.0,True
od_04,walking,2.0,0.03019056565455679,68.24586047456621,5,4,walking-1,walking-1,walking-1,66.24586047456621,0.0,1734.6168637377984,2526.171611879433,0.0,0.0,2526.171611879433,2526.171611879433,0.0,True
od_04,walking,3.0,0.045285848481835186,69.24586047456621,5,4,walking-1,walking-1,walking-1,66.24586047456621,0.0,1734.6168637377984,2526.171611879433,0.0,0.0,2526.171611879433,2526.171611879433,0.0,True
od_04,walking,5.0,0.07547641413639197,71.24586047456621,5,4,walking-1,walking-1,walking-1,66.24586047456621,0.0,1734.6168637377984,2526.171611879433,0.0,0.0,2526.171611879433,2526.171611879433,0.0,True
od_04,walking,10.0,0.15095282827278395,76.24586047456621,6,5,walking-1,walking-1,walking-1,66.24586047456621,0.0,1734.6168637377984,2526.171611879433,0.0,0.0,2526.171611879433,2526.171611879433,0.0,True
od_05,motorbike,0.0,0.0,15.468886749491073,1,0,motorbike-1,motorbike-1,motorbike-1,15.468886749491073,0.0,389.6325130292415,538.4203047254263,0.0,0.0,538.4203047254263,538.4203047254263,0.0,True
od_05,motorbike,1.0,0.0646458931527765,16.468886749491073,2,1,motorbike-1,motorbike-1,motorbike-1,15.468886749491073,0.0,389.6325130292415,538.4203047254263,0.0,0.0,538.4203047254263,538.4203047254263,0.0,True
od_05,motorbike,2.0,0.129291786305553,17.468886749491073,2,1,motorbike-1,motorbike-1,motorbike-1,15.468886749491073,0.0,389.6325130292415,538.4203047254263,0.0,0.0,538.4203047254263,538.4203047254263,0.0,True
od_05,motorbike,3.0,0.1939376794583295,18.468886749491073,3,2,motorbike-1,motorbike-1,motorbike-1,15.468886749491073,0.0,389.6325130292415,538.4203047254263,0.0,0.0,538.4203047254263,538.4203047254263,0.0,True
od_05,motorbike,5.0,0.32322946576388245,20.468886749491073,4,3,motorbike-1,motorbike-1,motorbike-1,15.468886749491073,0.0,389.6325130292415,538.4203047254263,0.0,0.0,538.4203047254263,538.4203047254263,0.0,True
od_05,motorbike,10.0,0.6464589315277649,25.468886749491073,6,5,motorbike-1,motorbike-1,motorbike-1,15.468886749491073,0.0,389.6325130292415,538.4203047254263,0.0,0.0,538.4203047254263,538.4203047254263,0.0,True
od_05,walking,0.0,0.0,79.18940872206731,1,0,walking-1,walking-1,walking-1,79.18940872206731,0.0,2005.071681474288,2533.8510501846745,0.0,0.0,2533.8510501846745,2533.8510501846745,0.0,True
od_05,walking,1.0,0.012627951340181368,80.18940872206731,5,4,walking-1,walking-1,walking-1,79.18940872206731,0.0,2005.071681474288,2533.8510501846745,0.0,0.0,2533.8510501846745,2533.8510501846745,0.0,True
od_05,walking,2.0,0.025255902680362735,81.18940872206731,5,4,walking-1,walking-1,walking-1,79.18940872206731,0.0,2005.071681474288,2533.8510501846745,0.0,0.0,2533.8510501846745,2533.8510501846745,0.0,True
od_05,walking,3.0,0.0378838540205441,82.18940872206731,6,5,walking-1,walking-1,walking-1,79.18940872206731,0.0,2005.071681474288,2533.8510501846745,0.0,0.0,2533.8510501846745,2533.8510501846745,0.0,True
od_05,walking,5.0,0.06313975670090684,84.18940872206731,6,5,walking-1,walking-1,walking-1,79.18940872206731,0.0,2005.071681474288,2533.8510501846745,0.0,0.0,2533.8510501846745,2533.8510501846745,0.0,True
od_05,walking,10.0,0.12627951340181368,89.18940872206731,7,6,walking-1,walking-1,walking-1,79.18940872206731,0.0,2005.071681474288,2533.8510501846745,0.0,0.0,2533.8510501846745,2533.8510501846745,0.0,True
od_06,motorbike,0.0,0.0,8.795778104253094,1,0,motorbike-1,motorbike-1,motorbike-1,8.795778104253094,0.0,227.76683363333711,289.96369112562195,0.0,0.0,289.96369112562195,289.96369112562195,0.0,True
od_06,motorbike,1.0,0.11369090808651278,9.795778104253094,3,2,motorbike-1,motorbike-1,motorbike-1,8.795778104253094,0.0,227.76683363333711,289.96369112562195,0.0,0.0,289.96369112562195,289.96369112562195,0.0,True
od_06,motorbike,2.0,0.22738181617302555,10.795778104253094,3,2,motorbike-1,motorbike-1,motorbike-1,8.795778104253094,0.0,227.76683363333711,289.96369112562195,0.0,0.0,289.96369112562195,289.96369112562195,0.0,True
od_06,motorbike,3.0,0.34107272425953833,11.795778104253094,5,4,motorbike-1,motorbike-1,motorbike-1,8.795778104253094,0.0,227.76683363333711,289.96369112562195,0.0,0.0,289.96369112562195,289.96369112562195,0.0,True
od_06,motorbike,5.0,0.5684545404325638,13.795778104253094,6,5,motorbike-1,motorbike-1,motorbike-1,8.795778104253094,0.0,227.76683363333711,289.96369112562195,0.0,0.0,289.96369112562195,289.96369112562195,0.0,True
od_06,motorbike,10.0,1.1369090808651277,18.795778104253095,8,7,motorbike-1,motorbike-1,motorbike-1,8.795778104253094,0.0,227.76683363333711,289.96369112562195,0.0,0.0,289.96369112562195,289.96369112562195,0.0,True
od_06,walking,0.0,0.0,42.44838227513487,1,0,walking-1,walking-1,walking-1,42.44838227513487,0.0,1099.3491177612561,1399.9233710108867,0.0,0.0,1399.9233710108867,1399.9233710108867,0.0,True
od_06,walking,1.0,0.023558023802140827,43.44838227513487,4,3,walking-1,walking-1,walking-1,42.44838227513487,0.0,1099.3491177612561,1399.9233710108867,0.0,0.0,1399.9233710108867,1399.9233710108867,0.0,True
od_06,walking,2.0,0.047116047604281654,44.44838227513487,5,4,walking-1,walking-1,walking-1,42.44838227513487,0.0,1099.3491177612561,1399.9233710108867,0.0,0.0,1399.9233710108867,1399.9233710108867,0.0,True
od_06,walking,3.0,0.07067407140642248,45.44838227513487,5,4,walking-1,walking-1,walking-1,42.44838227513487,0.0,1099.3491177612561,1399.9233710108867,0.0,0.0,1399.9233710108867,1399.9233710108867,0.0,True
od_06,walking,5.0,0.11779011901070413,47.44838227513487,6,5,walking-1,walking-1,walking-1,42.44838227513487,0.0,1099.3491177612561,1399.9233710108867,0.0,0.0,1399.9233710108867,1399.9233710108867,0.0,True
od_06,walking,10.0,0.23558023802140826,52.44838227513487,7,6,walking-1,walking-1,walking-1,42.44838227513487,0.0,1099.3491177612561,1399.9233710108867,0.0,0.0,1399.9233710108867,1399.9233710108867,0.0,True
od_07,motorbike,0.0,0.0,8.70687690002884,1,0,motorbike-1,motorbike-1,motorbike-1,8.70687690002884,0.0,231.8400543718206,316.707051850389,0.0,0.0,316.707051850389,316.707051850389,0.0,True
od_07,motorbike,1.0,0.1148517443719329,9.70687690002884,3,2,motorbike-1,motorbike-1,motorbike-1,8.70687690002884,0.0,231.8400543718206,316.707051850389,0.0,0.0,316.707051850389,316.707051850389,0.0,True
od_07,motorbike,2.0,0.2297034887438658,10.70687690002884,4,3,motorbike-1,motorbike-1,motorbike-1,8.70687690002884,0.0,231.8400543718206,316.707051850389,0.0,0.0,316.707051850389,316.707051850389,0.0,True
od_07,motorbike,3.0,0.3445552331157987,11.70687690002884,4,3,motorbike-1,motorbike-1,motorbike-1,8.70687690002884,0.0,231.8400543718206,316.707051850389,0.0,0.0,316.707051850389,316.707051850389,0.0,True
