scenario_id,mode,route_a,route_b,edge_jaccard
od_06,motorbike,motorbike-3,motorbike-6,0.004901960784313725
od_06,motorbike,motorbike-3,motorbike-7,0.00954653937947494
od_06,motorbike,motorbike-3,motorbike-8,0.004464285714285714
od_06,motorbike,motorbike-4,motorbike-5,0.002288329519450801
od_06,motorbike,motorbike-4,motorbike-6,0.0042643923240938165
od_06,motorbike,motorbike-4,motorbike-7,0.004149377593360996
od_06,motorbike,motorbike-4,motorbike-8,0.005905511811023622
od_06,motorbike,motorbike-5,motorbike-6,0.0
od_06,motorbike,motorbike-5,motorbike-7,0.01639344262295082
od_06,motorbike,motorbike-5,motorbike-8,0.0
od_06,motorbike,motorbike-6,motorbike-7,0.0
od_06,motorbike,motorbike-6,motorbike-8,0.002028397565922921
od_06,motorbike,motorbike-7,motorbike-8,0.001976284584980237
od_07,walking,walking-1,walking-2,0.06465517241379311
od_07,walking,walking-1,walking-3,0.006779661016949152
od_07,walking,walking-1,walking-4,0.014035087719298246
od_07,walking,walking-1,walking-5,0.012232415902140673
od_07,walking,walking-1,walking-6,0.22134387351778656
od_07,walking,walking-1,walking-7,0.8968253968253969
od_07,walking,walking-1,walking-8,0.912
od_07,walking,walking-2,walking-3,0.009900990099009901
od_07,walking,walking-2,walking-4,0.017064846416382253
od_07,walking,walking-2,walking-5,0.055900621118012424
od_07,walking,walking-2,walking-6,0.15217391304347827
od_07,walking,walking-2,walking-7,0.06437768240343347
od_07,walking,walking-2,walking-8,0.06437768240343347
od_07,walking,walking-3,walking-4,0.0
od_07,walking,walking-3,walking-5,0.0
od_07,walking,walking-3,walking-6,0.06358381502890173
od_07,walking,walking-3,walking-7,0.006756756756756757
od_07,walking,walking-3,walking-8,0.006756756756756757
od_07,walking,walking-4,walking-5,0.03804347826086957
od_07,walking,walking-4,walking-6,0.011235955056179775
od_07,walking,walking-4,walking-7,0.013986013986013986
od_07,walking,walking-4,walking-8,0.013986013986013986
od_07,walking,walking-5,walking-6,0.010050251256281407
od_07,walking,walking-5,walking-7,0.012195121951219513
od_07,walking,walking-5,walking-8,0.012195121951219513
od_07,walking,walking-6,walking-7,0.2204724409448819
od_07,walking,walking-6,walking-8,0.2204724409448819
od_07,walking,walking-7,walking-8,0.9672131147540983
od_07,motorbike,motorbike-1,motorbike-2,0.25416666666666665
od_07,motorbike,motorbike-1,motorbike-3,0.10749185667752444
od_07,motorbike,motorbike-1,motorbike-4,0.002898550724637681
od_07,motorbike,motorbike-1,motorbike-5,0.0
od_07,motorbike,motorbike-1,motorbike-6,0.0029498525073746312
od_07,motorbike,motorbike-1,motorbike-7,0.002544529262086514
od_07,motorbike,motorbike-1,motorbike-8,0.008
od_07,motorbike,motorbike-2,motorbike-3,0.045845272206303724
od_07,motorbike,motorbike-2,motorbike-4,0.01366120218579235
od_07,motorbike,motorbike-2,motorbike-5,0.0
od_07,motorbike,motorbike-2,motorbike-6,0.0339943342776204
od_07,motorbike,motorbike-2,motorbike-7,0.0023923444976076554
od_07,motorbike,motorbike-2,motorbike-8,0.0075
od_07,motorbike,motorbike-3,motorbike-4,0.0
od_07,motorbike,motorbike-3,motorbike-5,0.018134715025906734
od_07,motorbike,motorbike-3,motorbike-6,0.0
od_07,motorbike,motorbike-3,motorbike-7,0.0
od_07,motorbike,motorbike-3,motorbike-8,0.0
od_07,motorbike,motorbike-4,motorbike-5,0.005037783375314861
od_07,motorbike,motorbike-4,motorbike-6,0.022443890274314215
od_07,motorbike,motorbike-4,motorbike-7,0.04035874439461883
od_07,motorbike,motorbike-4,motorbike-8,0.029885057471264367
od_07,motorbike,motorbike-5,motorbike-6,0.005115089514066497
od_07,motorbike,motorbike-5,motorbike-7,0.0044943820224719105
od_07,motorbike,motorbike-5,motorbike-8,0.01650943396226415
od_07,motorbike,motorbike-6,motorbike-7,0.0200445434298441
od_07,motorbike,motorbike-6,motorbike-8,0.00683371298405467
od_07,motorbike,motorbike-7,motorbike-8,0.008130081300813009
od_08,walking,walking-1,walking-2,0.00966183574879227
od_08,walking,walking-1,walking-3,0.03697749196141479
od_08,walking,walking-1,walking-4,0.007704160246533128
od_08,walking,walking-1,walking-5,0.004160887656033287
od_08,walking,walking-1,walking-6,0.004322766570605188
od_08,walking,walking-1,walking-7,0.9438202247191011
od_08,walking,walking-1,walking-8,0.9885057471264368
od_08,walking,walking-2,walking-3,0.006944444444444444
od_08,walking,walking-2,walking-4,0.0017006802721088435
od_08,walking,walking-2,walking-5,0.009188361408882083
od_08,walking,walking-2,walking-6,0.001584786053882726
od_08,walking,walking-2,walking-7,0.00966183574879227
od_08,walking,walking-2,walking-8,0.00966183574879227
od_08,walking,walking-3,walking-4,0.0
od_08,walking,walking-3,walking-5,0.00744047619047619
od_08,walking,walking-3,walking-6,0.007751937984496124
od_08,walking,walking-3,walking-7,0.03697749196141479
od_08,walking,walking-3,walking-8,0.03697749196141479
od_08,walking,walking-4,walking-5,0.0029239766081871343
od_08,walking,walking-4,walking-6,0.0
od_08,walking,walking-4,walking-7,0.007704160246533128
od_08,walking,walking-4,walking-8,0.007704160246533128
od_08,walking,walking-5,walking-6,0.0
od_08,walking,walking-5,walking-7,0.004160887656033287
od_08,walking,walking-5,walking-8,0.004160887656033287
od_08,walking,walking-6,walking-7,0.004322766570605188
od_08,walking,walking-6,walking-8,0.005772005772005772
od_08,walking,walking-7,walking-8,0.9329608938547486
od_08,motorbike,motorbike-1,motorbike-2,0.048484848484848485
od_08,motorbike,motorbike-1,motorbike-3,0.0014245014245014246
od_08,motorbike,motorbike-1,motorbike-4,0.03374233128834356
od_08,motorbike,motorbike-1,motorbike-5,0.0
od_08,motorbike,motorbike-1,motorbike-6,0.0
od_08,motorbike,motorbike-1,motorbike-7,0.0
od_08,motorbike,motorbike-1,motorbike-8,0.0012578616352201257
od_08,motorbike,motorbike-2,motorbike-3,0.0014792899408284023
od_08,motorbike,motorbike-2,motorbike-4,0.006211180124223602
od_08,motorbike,motorbike-2,motorbike-5,0.0
od_08,motorbike,motorbike-2,motorbike-6,0.0
od_08,motorbike,motorbike-2,motorbike-7,0.0
od_08,motorbike,motorbike-2,motorbike-8,0.0
od_08,motorbike,motorbike-3,motorbike-4,0.0
od_08,motorbike,motorbike-3,motorbike-5,0.011444921316165951
od_08,motorbike,motorbike-3,motorbike-6,0.0
od_08,motorbike,motorbike-3,motorbike-7,0.0
od_08,motorbike,motorbike-3,motorbike-8,0.007741935483870968
od_08,motorbike,motorbike-4,motorbike-5,0.0
od_08,motorbike,motorbike-4,motorbike-6,0.001349527665317139
od_08,motorbike,motorbike-4,motorbike-7,0.0
od_08,motorbike,motorbike-4,motorbike-8,0.0
od_08,motorbike,motorbike-5,motorbike-6,0.0
od_08,motorbike,motorbike-5,motorbike-7,0.0028368794326241137
od_08,motorbike,motorbike-5,motorbike-8,0.0037641154328732747
od_08,motorbike,motorbike-6,motorbike-7,0.002600780234070221
od_08,motorbike,motorbike-6,motorbike-8,0.0011587485515643105
od_08,motorbike,motorbike-7,motorbike-8,0.0
od_09,walking,walking-1,walking-2,0.0944206008583691
od_09,walking,walking-1,walking-3,0.009584664536741214
od_09,walking,walking-1,walking-4,0.05405405405405406
od_09,walking,walking-1,walking-5,0.006309148264984227
od_09,walking,walking-1,walking-6,0.17316017316017315
od_09,walking,walking-1,walking-7,0.9607843137254902
od_09,walking,walking-1,walking-8,0.897196261682243
od_09,walking,walking-2,walking-3,0.005420054200542005
od_09,walking,walking-2,walking-4,0.028469750889679714
od_09,walking,walking-2,walking-5,0.008086253369272238
od_09,walking,walking-2,walking-6,0.21641791044776118
od_09,walking,walking-2,walking-7,0.1038961038961039
od_09,walking,walking-2,walking-8,0.09322033898305085
od_09,walking,walking-3,walking-4,0.0
od_09,walking,walking-3,walking-5,0.006944444444444444
od_09,walking,walking-3,walking-6,0.0078125
od_09,walking,walking-3,walking-7,0.0031746031746031746
od_09,walking,walking-3,walking-8,0.00949367088607595
od_09,walking,walking-4,walking-5,0.0
od_09,walking,walking-4,walking-6,0.04452054794520548
od_09,walking,walking-4,walking-7,0.05405405405405406
od_09,walking,walking-4,walking-8,0.05333333333333334
od_09,walking,walking-5,walking-6,0.005154639175257732
od_09,walking,walking-5,walking-7,0.012698412698412698
od_09,walking,walking-5,walking-8,0.00625
od_09,walking,walking-6,walking-7,0.1630901287553648
od_09,walking,walking-6,walking-8,0.17094017094017094
od_09,walking,walking-7,walking-8,0.8623853211009175
od_09,motorbike,motorbike-1,motorbike-2,0.010752688172043012
od_09,motorbike,motorbike-1,motorbike-3,0.13636363636363635
od_09,motorbike,motorbike-1,motorbike-4,0.053125
od_09,motorbike,motorbike-1,motorbike-5,0.004545454545454545
od_09,motorbike,motorbike-1,motorbike-6,0.002331002331002331
od_09,motorbike,motorbike-1,motorbike-7,0.01098901098901099
od_09,motorbike,motorbike-1,motorbike-8,0.028622540250447227
od_09,motorbike,motorbike-2,motorbike-3,0.01485148514851485
od_09,motorbike,motorbike-2,motorbike-4,0.03926701570680628
od_09,motorbike,motorbike-2,motorbike-5,0.006012024048096192
od_09,motorbike,motorbike-2,motorbike-6,0.04477611940298507
od_09,motorbike,motorbike-2,motorbike-7,0.005802707930367505
od_09,motorbike,motorbike-2,motorbike-8,0.004746835443037975
od_09,motorbike,motorbike-3,motorbike-4,0.019230769230769232
od_09,motorbike,motorbike-3,motorbike-5,0.01276595744680851
od_09,motorbike,motorbike-3,motorbike-6,0.006507592190889371
od_09,motorbike,motorbike-3,motorbike-7,0.018556701030927835
od_09,motorbike,motorbike-3,motorbike-8,0.01669449081803005
