scenario_id,mode,route_id,total_distance_m,total_travel_time_minutes,segment_count,oracle_exposure_index,predicted_exposure_index,exposure_difference,absolute_exposure_error,percentage_difference,absolute_percentage_error,mean_nearest_station_distance_km,max_nearest_station_distance_km,mean_effective_station_count,moderate_or_weak_segment_fraction,edge_jaccard_with_fastest,edge_difference_fraction_from_fastest
od_06,walking,walking-3,3861.827773806514,46.34193328567817,201,1538.6956673436384,1200.926323381852,-337.7693439617865,337.7693439617865,-21.951666670050624,21.951666670050624,1.2329559233686147,1.7209983487524767,3.234759647361995,0.3283582089552239,0.029498525073746312,0.9705014749262537
od_06,walking,walking-4,4270.552599826714,51.24663119792057,181,1678.229692365159,1325.4122051153436,-352.8174872498155,352.8174872498155,-21.023194194150115,21.023194194150115,0.9952434306154406,1.7231899121115803,2.806005846063151,0.143646408839779,0.003048780487804878,0.9969512195121951
od_06,walking,walking-5,4555.358741668228,54.664304900018735,235,1831.026960143035,1418.7558345345724,-412.2711256084626,412.2711256084626,-22.515841360208977,22.515841360208977,1.5059030441726697,1.8687533193209516,3.6225246011161194,0.01702127659574468,0.0,1.0
od_06,walking,walking-6,3537.459356155005,42.44951227386006,148,1399.9666468259336,1099.3814371223696,-300.58520970356403,300.58520970356403,-21.47088363748266,21.47088363748266,1.024791600393974,1.6951302740504246,2.8758928661825665,0.1554054054054054,0.9473684210526315,0.052631578947368474
od_06,walking,walking-7,3538.2918404593456,42.45950208551215,148,1400.3066562875954,1099.6411233210688,-300.6655329665266,300.6655329665266,-21.47140639634122,21.47140639634122,1.024914452151928,1.6951302740504246,2.8762028139121636,0.1554054054054054,0.9733333333333334,0.026666666666666616
od_06,walking,walking-8,3538.386007019779,42.460632084237346,148,1400.3499321026422,1099.673442682182,-300.67648942046026,300.67648942046026,-21.471525261474532,21.471525261474532,1.0251341274614412,1.6951302740504246,2.8764592584863475,0.1554054054054054,0.922077922077922,0.07792207792207795
od_06,motorbike,motorbike-1,3664.907543438789,8.795778104253094,177,289.96369112562195,227.76683363333711,-62.196857492284835,62.196857492284835,-21.449877828096444,21.449877828096444,1.0805582047253957,1.6951302740504246,2.9806950376253196,0.12994350282485875,1.0,0.0
od_06,motorbike,motorbike-2,3713.55208690206,8.912525008564945,192,294.94249439564294,230.8882226660692,-64.05427172957374,64.05427172957374,-21.717545944278143,21.717545944278143,1.1857673081067366,1.6951302740504246,3.1594750924657156,0.21354166666666666,0.1941747572815534,0.8058252427184466
od_06,motorbike,motorbike-3,4055.6641293022385,9.733593910325371,183,319.36397958211757,250.8206358092145,-68.54334377290306,68.54334377290306,-21.46245292364871,21.46245292364871,1.1644151169956067,1.7231899121115803,3.1213713571049957,0.26229508196721313,0.02857142857142857,0.9714285714285714
od_06,motorbike,motorbike-4,4627.731482063553,11.106555556952525,244,371.9956714024259,288.28005129608795,-83.71562010633795,83.71562010633795,-22.504460815559916,22.504460815559916,1.4900524423974182,1.8687533193209516,3.6012174501241687,0.01639344262295082,0.0,1.0
od_06,motorbike,motorbike-5,4511.935414416441,10.82864499459946,194,354.11356707385295,279.6280991983078,-74.48546787554517,74.48546787554517,-21.034344572291037,21.034344572291037,0.9730748862337467,1.7373001714849683,2.774037104643473,0.12886597938144329,0.01366120218579235,0.9863387978142076
od_06,motorbike,motorbike-6,5290.044003739078,12.696105608973786,227,428.21192151048666,330.28043720768204,-97.93148430280462,97.93148430280462,-22.869864051742972,22.869864051742972,1.7616075210164797,2.173776248631559,3.9295987634919745,0.0,0.0024813895781637717,0.9975186104218362
od_06,motorbike,motorbike-7,5777.694021722921,13.86646565213501,240,445.76780408734356,355.0384766970712,-90.72932739027237,90.72932739027237,-20.353494926810576,20.353494926810576,1.1658438856498945,1.9549310319213218,3.0322196409059416,0.08333333333333333,0.0,1.0
od_06,motorbike,motorbike-8,6403.564913596633,15.36855579263192,267,519.4893896662696,400.4190566627067,-119.07033300356295,119.07033300356295,-22.920647730660317,22.920647730660317,2.0025411294410786,2.492619922868783,4.154652688514757,0.0,0.0,1.0
od_07,walking,walking-1,3010.078469087085,36.12094162904502,119,1322.4744643795232,963.5440247405447,-358.93043963897844,358.93043963897844,-27.140821944519054,27.140821944519054,2.1371601379494622,2.9148083737815984,4.124394482779784,0.03361344537815126,1.0,0.0
od_07,walking,walking-2,3052.1049210734086,36.62525905288091,128,1340.9370536569306,977.063454343612,-363.87359931331866,363.87359931331866,-27.135770342163518,27.135770342163518,2.062672897606324,2.9093363187192076,4.064016414618506,0.03125,0.06465517241379311,0.9353448275862069
od_07,walking,walking-3,3868.7068261117006,46.42448191334041,178,1701.638588115035,1236.8835845124938,-464.75500360254114,464.75500360254114,-27.31220406310641,27.31220406310641,2.189951350195624,2.925801400700092,4.120290167991823,0.03932584269662921,0.006779661016949152,0.9932203389830508
od_07,walking,walking-4,4012.0415919286515,48.14449910314382,170,1754.6972149492262,1285.3294107336105,-469.3678042156157,469.3678042156157,-26.74921919387655,26.74921919387655,2.1478281352211033,2.9642979333920696,4.182343510157051,0.0058823529411764705,0.014035087719298246,0.9859649122807017
od_07,walking,walking-5,3962.9761296816596,47.555713556179924,212,1734.0861838875833,1268.2726911238685,-465.81349276371475,465.81349276371475,-26.86218811336267,26.86218811336267,2.1831216960289135,2.930514046481197,4.184271736708161,0.0047169811320754715,0.012232415902140673,0.9877675840978594
