scenario_id,route_id,mode,pipeline_mode,segment_index,segment_id,eta,mapped_target_time,mapping_method,forecast_horizon_hours,latitude,longitude,segment_duration_minutes,pm25_estimate,exposure_contribution,contribution_fraction,nearest_station_distance_km,second_nearest_station_distance_km,contributing_station_count,maximum_idw_weight,effective_station_count,reliability_status
s2_to_s6,walking-5,walking,oracle_exposure,27,612501703:1:r,2022-02-28T06:07:02.651330867,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.74430045,106.6219586,1.1933298924651696,45.83291806438602,54.6937911851387,0.01784541237607463,0.6442636938476133,5.740851250824855,6,0.7410430042879225,1.7702416838300465,supported
s2_to_s6,walking-5,walking,predicted_exposure,267,32586914:1:r,2022-02-28T07:14:40.330992364,2022-02-28T08:00:00,ceiling_to_next_hour_no_interpolation,3,10.776372949999999,106.65547955,2.0818490758905823,26.058269945081012,54.24938520447424,0.025490680546463057,0.6297305923289624,3.5315219441475647,6,0.663376946854911,2.1384788806106005,supported
s2_to_s6,walking-5,walking,predicted_exposure,279,680569918:6:f,2022-02-28T07:21:23.512525976,2022-02-28T08:00:00,ceiling_to_next_hour_no_interpolation,3,10.7801838,106.6584301,1.8409703620664117,26.088197598689945,48.02759857892032,0.022567189806384204,0.11674219152351317,3.2371556583288035,6,0.9117401403467864,1.2001747454759668,supported
s2_to_s6,walking-5,walking,predicted_exposure,274,680569918:1:f,2022-02-28T07:18:01.445495144,2022-02-28T08:00:00,ceiling_to_next_hour_no_interpolation,3,10.77831525,106.656703,1.5606569718071899,26.067860455422515,40.682988159852094,0.019116107048026024,0.38477310431000394,3.4047736302723672,6,0.7611361583789097,1.6854045162543247,supported
s2_to_s6,walking-5,walking,predicted_exposure,83,456799182:0:f,2022-02-28T06:24:01.826803107,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.75239415,106.63117055000001,1.4179178942292572,25.34843947958064,35.94200592888475,0.016888416115298566,1.991332678686646,4.392692410904776,6,0.4377442111822203,3.7113044092009955,supported
s2_to_s6,walking-5,walking,predicted_exposure,262,32586914:6:r,2022-02-28T07:11:38.389563830,2022-02-28T08:00:00,ceiling_to_next_hour_no_interpolation,3,10.77456655,106.6541881,1.3503308464654693,26.06032769789774,35.19006435946977,0.016535094095826493,0.8732155225395791,3.678050568289174,6,0.589889852522056,2.5739513749810583,supported
s6_to_s5,motorbike-1,motorbike,oracle_exposure,1,242307850:0:f,2022-02-28T06:00:12.255383185,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.780842700000001,106.66004285,0.4085127728482004,33.258038435330874,13.58633350070904,0.053402585983568146,0.07606002512771362,3.073606695230781,6,0.939752963555569,1.131146959543696,supported
s6_to_s5,motorbike-1,motorbike,oracle_exposure,6,520723335:0:r,2022-02-28T06:01:28.688800346,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.782001950000002,106.6639174,0.37082542546534353,32.64738656717125,12.10648101410282,0.04758586216658975,0.5159876186847594,2.683982416387248,6,0.6867344355868193,2.00758822668363,supported
s6_to_s5,motorbike-1,motorbike,oracle_exposure,5,520723335:1:r,2022-02-28T06:01:10.016443017,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.7815737,106.66281325,0.25158648547291557,32.87123887658913,8.26995946210173,0.03250599002537826,0.38645693288067984,2.791135301146874,6,0.7481373633234457,1.7345184004293677,supported
s6_to_s5,motorbike-1,motorbike,oracle_exposure,4,520723335:2:r,2022-02-28T06:00:55.092971932,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.78122965,106.66193150000001,0.24586255070987126,33.02571168798973,8.119785714617962,0.03191571550708692,0.28303910455213144,2.8779933987546675,6,0.8039601192069143,1.5234580160577655,supported
