perturbation_scale,departure_time,scenario_id,mode,delta_time_allowed_minutes,top1_agreement,top3_overlap_count,top3_overlap_fraction,selected_travel_time_difference_minutes,selected_predicted_exposure_difference,selected_oracle_exposure_difference,baseline_decision_regret,perturbed_decision_regret,decision_regret_difference
0.8,2022-02-27T06:00:00,od_15,walking,5.0,True,3,1.0,0.0,-365.72661733857353,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_15,walking,10.0,True,3,1.0,0.0,-365.72661733857353,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_16,motorbike,0.0,True,1,1.0,0.0,-49.14503587991044,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_16,motorbike,1.0,True,3,1.0,0.0,-49.14503587991044,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_16,motorbike,2.0,True,3,1.0,0.0,-49.14503587991044,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_16,motorbike,3.0,True,3,1.0,0.0,-49.14503587991044,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_16,motorbike,5.0,True,3,1.0,0.0,-49.14503587991044,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_16,motorbike,10.0,True,3,1.0,0.0,-49.14503587991044,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_16,walking,0.0,True,1,1.0,0.0,-246.36717388242494,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_16,walking,1.0,True,2,1.0,0.0,-246.36717388242494,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_16,walking,2.0,True,2,1.0,0.0,-246.36717388242494,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_16,walking,3.0,True,3,1.0,0.0,-246.36717388242494,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_16,walking,5.0,True,3,1.0,0.0,-246.36717388242494,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_16,walking,10.0,True,3,1.0,0.0,-246.36717388242494,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_17,motorbike,0.0,True,1,1.0,0.0,-42.11434197080729,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_17,motorbike,1.0,True,2,1.0,0.0,-42.11434197080729,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_17,motorbike,2.0,True,3,1.0,0.0,-42.11434197080729,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_17,motorbike,3.0,True,3,1.0,0.0,-42.11434197080729,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_17,motorbike,5.0,True,3,1.0,0.0,-42.11434197080729,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_17,motorbike,10.0,True,3,1.0,0.0,-42.11434197080729,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_17,walking,0.0,True,1,1.0,0.0,-195.7249752482145,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_17,walking,1.0,True,1,1.0,0.0,-195.7249752482145,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_17,walking,2.0,True,1,1.0,0.0,-195.7249752482145,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_17,walking,3.0,True,2,1.0,0.0,-195.7249752482145,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_17,walking,5.0,True,2,1.0,0.0,-195.7249752482145,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_17,walking,10.0,True,3,1.0,0.0,-195.7249752482145,0.0,0.0,0.0,0.0
