perturbation_scale,departure_time,scenario_id,mode,delta_time_allowed_minutes,route_id,rank,route_type,travel_time_minutes,predicted_exposure_index,oracle_exposure_index,available_feasible_alternatives,fewer_than_requested_alternatives
0.8,2022-02-27T06:00:00,od_04,walking,3.0,walking-8,2,AIRPATH alternative,66.27534217176127,1411.0830977332857,2080.430769770736,4,False
0.8,2022-02-27T06:00:00,od_04,walking,3.0,walking-7,3,AIRPATH alternative,66.27179286511733,1411.17433392351,2080.7530643277955,4,False
0.8,2022-02-27T06:00:00,od_04,walking,5.0,walking-1,0,fastest,66.24586047456621,1410.6034203995641,2079.897575023483,4,False
0.8,2022-02-27T06:00:00,od_04,walking,5.0,walking-6,1,AIRPATH alternative,66.2586318228782,1410.879473950174,2080.308731644741,4,False
0.8,2022-02-27T06:00:00,od_04,walking,5.0,walking-8,2,AIRPATH alternative,66.27534217176127,1411.0830977332857,2080.430769770736,4,False
0.8,2022-02-27T06:00:00,od_04,walking,5.0,walking-7,3,AIRPATH alternative,66.27179286511733,1411.17433392351,2080.7530643277955,4,False
0.8,2022-02-27T06:00:00,od_04,walking,10.0,walking-1,0,fastest,66.24586047456621,1410.6034203995641,2079.897575023483,5,False
0.8,2022-02-27T06:00:00,od_04,walking,10.0,walking-6,1,AIRPATH alternative,66.2586318228782,1410.879473950174,2080.308731644741,5,False
0.8,2022-02-27T06:00:00,od_04,walking,10.0,walking-8,2,AIRPATH alternative,66.27534217176127,1411.0830977332857,2080.430769770736,5,False
0.8,2022-02-27T06:00:00,od_04,walking,10.0,walking-7,3,AIRPATH alternative,66.27179286511733,1411.17433392351,2080.7530643277955,5,False
0.8,2022-02-27T06:00:00,od_05,motorbike,0.0,motorbike-1,0,fastest,15.468886749491071,307.99238416355865,451.7004624351972,0,True
0.8,2022-02-27T06:00:00,od_05,motorbike,1.0,motorbike-1,0,fastest,15.468886749491071,307.99238416355865,451.7004624351972,1,True
0.8,2022-02-27T06:00:00,od_05,motorbike,1.0,motorbike-2,1,AIRPATH alternative,16.430813463101863,327.1709615972687,484.2293002339979,1,True
0.8,2022-02-27T06:00:00,od_05,motorbike,2.0,motorbike-1,0,fastest,15.468886749491071,307.99238416355865,451.7004624351972,1,True
0.8,2022-02-27T06:00:00,od_05,motorbike,2.0,motorbike-2,1,AIRPATH alternative,16.430813463101863,327.1709615972687,484.2293002339979,1,True
0.8,2022-02-27T06:00:00,od_05,motorbike,3.0,motorbike-1,0,fastest,15.468886749491071,307.99238416355865,451.7004624351972,2,True
0.8,2022-02-27T06:00:00,od_05,motorbike,3.0,motorbike-2,1,AIRPATH alternative,16.430813463101863,327.1709615972687,484.2293002339979,2,True
0.8,2022-02-27T06:00:00,od_05,motorbike,3.0,motorbike-3,2,AIRPATH alternative,17.721025945346682,353.1946619758237,517.984166818683,2,True
0.8,2022-02-27T06:00:00,od_05,motorbike,5.0,motorbike-1,0,fastest,15.468886749491071,307.99238416355865,451.7004624351972,3,False
0.8,2022-02-27T06:00:00,od_05,motorbike,5.0,motorbike-2,1,AIRPATH alternative,16.430813463101863,327.1709615972687,484.2293002339979,3,False
0.8,2022-02-27T06:00:00,od_05,motorbike,5.0,motorbike-3,2,AIRPATH alternative,17.721025945346682,353.1946619758237,517.984166818683,3,False
0.8,2022-02-27T06:00:00,od_05,motorbike,5.0,motorbike-4,3,AIRPATH alternative,19.325041392608465,382.89227662043623,569.2778197726524,3,False
0.8,2022-02-27T06:00:00,od_05,motorbike,10.0,motorbike-1,0,fastest,15.468886749491071,307.99238416355865,451.7004624351972,5,False
0.8,2022-02-27T06:00:00,od_05,motorbike,10.0,motorbike-2,1,AIRPATH alternative,16.430813463101863,327.1709615972687,484.2293002339979,5,False
0.8,2022-02-27T06:00:00,od_05,motorbike,10.0,motorbike-3,2,AIRPATH alternative,17.721025945346682,353.1946619758237,517.984166818683,5,False
0.8,2022-02-27T06:00:00,od_05,motorbike,10.0,motorbike-4,3,AIRPATH alternative,19.325041392608465,382.89227662043623,569.2778197726524,5,False
0.8,2022-02-27T06:00:00,od_05,walking,0.0,walking-1,0,fastest,79.18940872206731,1563.6950011794356,2247.342378393426,0,True
0.8,2022-02-27T06:00:00,od_05,walking,1.0,walking-1,0,fastest,79.18940872206731,1563.6950011794356,2247.342378393426,4,False
0.8,2022-02-27T06:00:00,od_05,walking,1.0,walking-5,1,AIRPATH alternative,79.19073760644044,1563.7171265485588,2247.3639590678986,4,False
0.8,2022-02-27T06:00:00,od_05,walking,1.0,walking-6,2,AIRPATH alternative,79.19390361930249,1563.7878130400727,2247.504923157783,4,False
0.8,2022-02-27T06:00:00,od_05,walking,1.0,walking-7,3,AIRPATH alternative,79.1952325036756,1563.809938409196,2247.526503832256,4,False
0.8,2022-02-27T06:00:00,od_05,walking,2.0,walking-1,0,fastest,79.18940872206731,1563.6950011794356,2247.342378393426,4,False
0.8,2022-02-27T06:00:00,od_05,walking,2.0,walking-5,1,AIRPATH alternative,79.19073760644044,1563.7171265485588,2247.3639590678986,4,False
0.8,2022-02-27T06:00:00,od_05,walking,2.0,walking-6,2,AIRPATH alternative,79.19390361930249,1563.7878130400727,2247.504923157783,4,False
0.8,2022-02-27T06:00:00,od_05,walking,2.0,walking-7,3,AIRPATH alternative,79.1952325036756,1563.809938409196,2247.526503832256,4,False
0.8,2022-02-27T06:00:00,od_05,walking,3.0,walking-1,0,fastest,79.18940872206731,1563.6950011794356,2247.342378393426,5,False
0.8,2022-02-27T06:00:00,od_05,walking,3.0,walking-5,1,AIRPATH alternative,79.19073760644044,1563.7171265485588,2247.3639590678986,5,False
0.8,2022-02-27T06:00:00,od_05,walking,3.0,walking-6,2,AIRPATH alternative,79.19390361930249,1563.7878130400727,2247.504923157783,5,False
0.8,2022-02-27T06:00:00,od_05,walking,3.0,walking-7,3,AIRPATH alternative,79.1952325036756,1563.809938409196,2247.526503832256,5,False
0.8,2022-02-27T06:00:00,od_05,walking,5.0,walking-1,0,fastest,79.18940872206731,1563.6950011794356,2247.342378393426,5,False
0.8,2022-02-27T06:00:00,od_05,walking,5.0,walking-5,1,AIRPATH alternative,79.19073760644044,1563.7171265485588,2247.3639590678986,5,False
0.8,2022-02-27T06:00:00,od_05,walking,5.0,walking-6,2,AIRPATH alternative,79.19390361930249,1563.7878130400727,2247.504923157783,5,False
0.8,2022-02-27T06:00:00,od_05,walking,5.0,walking-7,3,AIRPATH alternative,79.1952325036756,1563.809938409196,2247.526503832256,5,False
0.8,2022-02-27T06:00:00,od_05,walking,10.0,walking-1,0,fastest,79.18940872206731,1563.6950011794356,2247.342378393426,6,False
0.8,2022-02-27T06:00:00,od_05,walking,10.0,walking-5,1,AIRPATH alternative,79.19073760644044,1563.7171265485588,2247.3639590678986,6,False
